code,year,tmin,tmax,tmean,domin,domax,domean,bodmin,bodmax,bodmean,phmin,phmax,phmean,cmin,cmax,cmean,nmin,nmax,nmean,fcmin,fcmax,fcmean,tcmin,tcmax,tcmean
1347,2012,17,28,22,5.4,8.1,6.9,1,1,1,6.9,7.4,7.1,105,275,143,0.821,1,1,,,,,,
1347,2013,12,28,22.3,5.5,7.4,6.3,1,1,1,6.9,7.5,7.3,110,175,143,0,0,0,,,,,,
1347,2014,12,25,21.3,5,6.8,6,8,33,21,6.8,7.5,7.3,125,190,162,0.857,1,1,4,4,4,20,170,95
1348,2003,23,27,26,3.5,4.8,4.2,13,21,17,7.1,7.5,7.3,35000,61000,50250,1.6,2.961,2.477,8,12,9,250,550,425
1348,2004,12,22,17,6.2,7.5,6.9,8,12,9.5,6.7,7,6.9,266,303,279,,,,310,2200,1523,1700,3600,2675
1348,2005,10,19,15.75,6,9,7.7,8,13.5,9.425,7,7.2,7.05,255,305,281.3,1.4,1.4,1.4,22,3300,1538,28,4900,2832
1348,2006,18,18,18,6.6,7.2,6.8,8.2,8.5,8.4,7.4,7.6,7.47,280,295,285,2.8,3.7,3.4,3300,3300,3300,4600,4600,4600
1348,2007,14,20,17,6.2,8.8,7.1,5.2,8.6,7.3,6.8,7.5,7.1,249,300,270,1.2,1.5,1.3,1700,3100,2167,2200,4600,3000
1348,2011,12,25,19,6.2,8,6.9,11,11,11,6.9,7.4,7.2,210,270,239,6.4,6.96,6.78,,,,,,
1348,2012,14,25,19,5,10.6,7.5,0.3,0.3,0.3,6.7,7.7,7.2,136,295,172,0,0,0,,,,,,
1348,2013,14,26,20.8,6,8,7.1,1,1,1,7.1,7.7,7.4,150,195,169,0,0,0,,,,,,
1348,2014,14,24,19.8,5.4,10,6.7,0.7,20,9.5,6.9,7.5,7.3,150,215,183,0,0,0,,,,200,530,313
1349,2003,28,28,28,2.9,8.8,5.9,1.1,28,14.6,7.7,7.8,7.8,387,564,476,,,,7500,15000,11250,15000,46000,30500
1349,2004,19,28,22,6.2,6.8,6.5,1.9,2.7,2.2,7.8,8.1,7.9,241,264,253,,,,,,,,,
1349,2005,,,,6.81,8.21,7.507,1.04,2.3,1.88,7.22,7.44,7.32,242,264,254.7,,,,,,,,,
1349,2006,17,25,22,6.5,8.2,7.3,1.9,2.4,2.1,8.1,8.42,8.21,242,611,437,,,,,,,,,
1349,2007,22,36,27,6.3,6.7,6.5,1.5,2.3,1.91,7.7,8.1,7.9,490,1251,765,0.05,0.05,0.05,,,,,,
1349,2008,19.8,32,25.9,6.3,6.6,6.4,8,8,8,7.9,8.8,8.3,224,227,226,0,0,0,,,,200,200,200
1349,2009,20,35,27.5,7.2,7.9,7.6,1,2.5,1.7,8,8.4,8.2,212,422,317,0,0,0,,,,,,
1349,2010,16,20,18,6.88,6.98,6.9,0.7,20,7.3,8.15,8.55,8.3,239,288,260,6.1,6.9,6.45,30,30,30,4,9,7
1349,2011,21,21,21,6.8,6.9,6.9,5.3,7.4,6.6,7.8,7.9,7.9,257,263,260,6.019,6.99,6.22,8,40,24,26,3500,959
1349,2013,,,,6.9,6.9,6.9,2.5,11.2,5.5,7.9,7.9,7.9,,,,0.61,1,1.06,2,17,7,60,1600,363
1362,2003,24,28,26,6.1,7.1,6.5,1.8,5.3,3.6,7,7.8,7.4,148,350,226,,,,,,,30,47,39
1362,2004,17,20,18,6.2,14.2,9.7,3,4.4,3.6,3,8.6,6.6,568,568,568,,,,,,,920,1600,1147
1362,2005,11.5,18,14.75,1.3,10.8,7.575,1.5,5,3,7.5,8.9,8.086,527,610,572,,,,11,20,16,90,920,618
1362,2007,13,17,15,0.4,8.8,5.6,1.6,3.8,3,7.5,8.1,7.8,460,560,513,,,,0,20,9,17,920,257
1362,2009,13,16,15,5.4,8.8,7.8,1.1,2.4,1.9,7.94,8.2,8,520,580,557,0.65,14,12,7,7,7,170,170,170
